,Mois,Eric Zemmour,Emmanuel Macron,Jean-Luc Mélenchon,Valérie Pécresse,Yannick Jadot,Anne Hidalgo,Jean Lassalle
0,Janvier,0,0,9,5,0,0,14
1,Février,0,0,5,2,11,0,8
2,Mars,0,0,16,5,11,0,3
3,Avril,0,0,12,4,4,0,7
4,Mai,0,0,16,3,18,0,7
5,Juin,0,0,16,3,7,0,6
6,Juillet,0,0,11,4,4,0,14
7,Aout,0,0,5,1,3,0,0
8,Septembre,10,0,13,2,12,0,4
9,Octobre,19,0,19,8,0,0,7
10,Novembre,12,0,23,6,5,0,6
11,Décembre,13,0,21,6,15,2,3
