,Mois,Extreme droite,Extreme gauche,Droite,Gauche,Majorite,Verts
0,Janvier,111,52,17,10,9,25
1,Février,88,50,24,18,7,36
2,Mars,30,14,8,6,5,12
3,Avril,0,0,0,0,0,0
4,Mai,0,0,0,0,0,0
5,Juin,0,0,0,0,0,0
6,Juillet,0,0,0,0,0,0
7,Aout,0,0,0,0,0,0
8,Septembre,0,0,0,0,0,0
9,Octobre,0,0,0,0,0,0
10,Novembre,0,0,0,0,0,0
11,Décembre,0,0,0,0,0,0
