,Mois,Eric Zemmour,Emmanuel Macron,Jean-Luc Mélenchon,Valérie Pécresse,Yannick Jadot,Anne Hidalgo,Jean Lassalle
0,Janvier,13866750,8694,7613618,122167,26063,36581,448029
1,Février,8983274,11119,7871334,139940,57848,10784,49623
2,Mars,2188220,314664,1668012,24475,6269,1026,15616
3,Avril,0,0,0,0,0,0,0
4,Mai,0,0,0,0,0,0,0
5,Juin,0,0,0,0,0,0,0
6,Juillet,0,0,0,0,0,0,0
7,Aout,0,0,0,0,0,0,0
8,Septembre,0,0,0,0,0,0,0
9,Octobre,0,0,0,0,0,0,0
10,Novembre,0,0,0,0,0,0,0
11,Décembre,0,0,0,0,0,0,0
