,Mois,Extreme droite,Extreme gauche,Droite,Gauche,Majorite,Verts
0,Janvier,658178,235769,1305,200,231,1294
1,Février,455980,229638,1769,243,455,2120
2,Mars,145333,71975,347,58,9736,394
3,Avril,0,0,0,0,0,0
4,Mai,0,0,0,0,0,0
5,Juin,0,0,0,0,0,0
6,Juillet,0,0,0,0,0,0
7,Aout,0,0,0,0,0,0
8,Septembre,0,0,0,0,0,0
9,Octobre,0,0,0,0,0,0
10,Novembre,0,0,0,0,0,0
11,Décembre,0,0,0,0,0,0
