,Mois,Eric Zemmour,Emmanuel Macron,Jean-Luc Mélenchon,Valérie Pécresse,Yannick Jadot,Anne Hidalgo,Jean Lassalle
0,Janvier,32,9,28,17,25,10,7
1,Février,18,7,27,24,36,18,8
2,Mars,5,5,9,8,12,6,5
3,Avril,0,0,0,0,0,0,0
4,Mai,0,0,0,0,0,0,0
5,Juin,0,0,0,0,0,0,0
6,Juillet,0,0,0,0,0,0,0
7,Aout,0,0,0,0,0,0,0
8,Septembre,0,0,0,0,0,0,0
9,Octobre,0,0,0,0,0,0,0
10,Novembre,0,0,0,0,0,0,0
11,Décembre,0,0,0,0,0,0,0
