,Mois,Extreme droite,Extreme gauche,Droite,Gauche,Majorite,Verts
0,Janvier,8,10,5,0,0,0
1,Février,11,10,2,0,0,11
2,Mars,15,17,5,0,0,11
3,Avril,27,19,4,0,0,4
4,Mai,34,20,3,0,0,18
5,Juin,28,26,3,0,0,7
6,Juillet,44,13,4,0,0,4
7,Aout,43,6,1,0,0,3
8,Septembre,41,32,2,0,0,12
9,Octobre,62,39,8,0,0,0
10,Novembre,60,35,6,0,0,5
11,Décembre,40,25,6,2,0,15
