,Mois,Extreme droite,Extreme gauche,Droite,Gauche,Majorite,Verts
0,Janvier,8256,63479,86,0,0,0
1,Février,14422,55112,29,0,0,24
2,Mars,16879,119120,76,0,0,43
3,Avril,29910,84534,65,0,0,32
4,Mai,36781,87322,120,0,0,99
5,Juin,20537,100344,53,0,0,50
6,Juillet,128478,121765,105,0,0,13
7,Aout,130855,26855,61,0,0,47
8,Septembre,357026,136666,125,0,0,129
9,Octobre,316495,120810,342,0,0,0
10,Novembre,390745,165959,229,0,0,138
11,Décembre,392406,97142,614,119,0,514
