,Mois,Eric Zemmour,Emmanuel Macron,Jean-Luc Mélenchon,Valérie Pécresse,Yannick Jadot,Anne Hidalgo,Jean Lassalle
0,Janvier,529286,231,234920,1305,1294,200,17678
1,Février,383505,455,228525,1769,2120,243,1966
2,Mars,119357,9736,71540,347,394,58,915
3,Avril,0,0,0,0,0,0,0
4,Mai,0,0,0,0,0,0,0
5,Juin,0,0,0,0,0,0,0
6,Juillet,0,0,0,0,0,0,0
7,Aout,0,0,0,0,0,0,0
8,Septembre,0,0,0,0,0,0,0
9,Octobre,0,0,0,0,0,0,0
10,Novembre,0,0,0,0,0,0,0
11,Décembre,0,0,0,0,0,0,0
