,mot,occurences
267,bon,608
16,monde,467
303,autres,399
9,france,385
219,pays,380
58,français,333
1195,temps,323
397,rien,321
143,accord,294
48,mélenchon,287
1397,sans,264
6,politique,254
213,déjà,249
445,président,244
444,sais,243
166,maintenant,231
163,moment,229
638,voir,228
338,contre,213
330,dont,212
