,mot,occurences
26,france,12
166,musique,9
186,personnes,8
145,jeunes,8
158,appelle,6
5,entreprise,6
103,emploi,6
216,puisque,5
48,française,5
44,moment,5
138,envie,5
425,république,5
55,prendre,5
7,important,5
36,vivre,5
278,mairie,4
157,bonjour,4
47,industrie,4
16,pense,4
266,trouve,4
