,mot,occurences
4,ministre,15
663,service,12
18,france,11
107,remercie,10
326,blanc,10
172,pays,10
49,situation,10
205,collègues,9
77,monde,9
355,vote,9
200,liberté,9
16,français,9
307,pouvoir,8
1418,assange,8
108,merci,8
256,ailleurs,7
599,savoir,7
253,années,7
389,élection,7
57,région,7
