,mot,occurences
60,france,677
222,français,447
249,zemmour,286
298,pense,281
390,savez,281
200,pays,233
241,politique,209
66,autres,195
728,état,186
704,monde,183
250,merci,178
193,pouvoir,159
347,ailleurs,157
16,sans,155
2001,amis,143
632,argent,139
254,temps,138
125,président,132
907,voulez,129
1262,jamais,129
