,mot,occurences
247,france,626
223,français,413
379,pense,275
263,pays,247
55,pécresse,228
1950,jeunes,213
100,vraiment,204
38,politique,185
513,macron,166
338,monde,165
1881,école,164
3,pouvoir,162
255,président,161
1101,vie,159
256,république,152
2224,enfants,150
553,doit,150
78,temps,145
266,sujet,143
527,déjà,141
