,mot,occurences
145,sûr,138
206,pays,107
76,gauche,100
447,france,93
738,pense,92
346,pouvoir,90
291,vraiment,84
256,politique,82
305,doit,77
806,logement,73
686,travail,73
406,exemple,72
246,monde,69
4,paris,68
331,savez,65
871,état,64
241,ailleurs,61
46,français,61
200,sans,53
126,europe,53
