,dateRqt,candidat,parti,courant,chaine,titreVideo,vid_id,dateVideo,liste_tags,livebroadcast,vuesVideo,likesVideo,dislikesVideo,favVideo,comzVideo,dureeVideo
2423,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,« On a besoin d'une gauche de gouvernement » (Anne Hidalgo dans « C à Vous »),NjckFGCx3tA,2022-02-10 16:22:22,[],none,3946,40,0,0,160,0 days 00:43:50
2426,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,Anne Hidalgo invitée de « Dimanche en politique »,HgpwjsGx9pk,2022-02-06 12:42:42,[],none,2501,16,0,0,20,0 days 00:26:49
2427,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,Anne Hidalgo invitée de la matinale de Franceinfo,FY7MyYlXq58,2022-02-01 15:41:41,[],none,1512,17,0,0,27,0 days 00:14:57
2428,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,"La crise ukrainienne : une question politique, énergétique et climatique",FbmmiTKR3Lk,2022-02-23 13:29:29,[],none,425,18,0,0,27,0 days 00:17:27
2431,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,Je condamne avec la plus grande fermeté l'invasion menée par Vladimir Poutine contre l'Ukraine,3VFVNxf3UHU,2022-02-24 18:02:02,[],none,358,13,0,0,37,0 days 00:40:33
2433,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,Anne Hidalgo invitée de RFI et France 24,qglEFECFtnM,2022-02-02 09:51:51,[],none,302,21,0,0,15,0 days 00:42:11
2434,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,"Chers amis ukrainiens, votre cause est la nôtre",EhZT9CK8I_U,2022-02-28 09:46:46,[],none,299,13,0,0,2,0 days 00:01:33
2435,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,Soutien à la manifestation des travailleurs sans-papiers (Alfortville),K0tqUk2MNds,2022-02-01 10:43:43,[],none,245,11,0,0,5,0 days 00:01:09
2440,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,En campagne en Martinique,PaSkIWNKdXQ,2022-02-22 11:45:45,[],none,201,11,0,0,4,0 days 00:00:58
2441,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,En campagne en Guadeloupe,a5xsMhL30LI,2022-02-21 11:35:35,[],none,175,5,0,0,4,0 days 00:01:00
2444,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,Martinique | L'inaction climatique du gouvernement face à la prolifération des sargasses,712xZ1Hz8Uk,2022-02-18 16:23:23,[],none,147,13,0,0,5,0 days 00:01:14
2446,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,Caravane du « Vivre mieux »,bFAObwXPyGw,2022-02-21 17:39:39,[],none,137,8,0,0,7,0 days 00:01:09
2449,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,Votez ! #DesCandidatsEtDesJeunes,8E3e1LxZJsU,2022-02-22 17:57:57,[],none,122,15,0,0,4,0 days 00:00:10
2450,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,Forum des travaux publics,qRVr6Dy7IiU,2022-02-28 15:51:51,[],none,103,9,0,0,5,0 days 00:34:07
2452,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,Côtes d'Armor | Je garantirai notre souveraineté alimentaire,FAJHqB9DdRg,2022-02-21 15:47:47,[],none,90,8,0,0,2,0 days 00:01:38
2453,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,"Fondation Abbé-Pierre | « Pour faire du logement abordable, il faut d'abord du logement ! »",grtr6BAFk2U,2022-02-22 11:28:28,[],none,81,8,0,0,10,0 days 00:25:50
2454,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,Face aux entrepreneurs de France | « Je revaloriserai le travail en augmentant le SMIC de 15 % »,FwC-c3c3kso,2022-02-21 17:18:18,[],none,77,8,0,0,2,0 days 00:31:45
2456,2022/03/08,Anne Hidalgo,Parti socialiste,gauche,Anne Hidalgo,Pointe-à-Pitre | L'hôpital public doit être le navire amiral de notre système de santé,0PVYf8uYwk8,2022-02-18 16:15:15,[],none,63,9,0,0,2,0 days 00:01:10
