,dateRqt,candidat,parti,courant,chaine,titreVideo,vid_id,dateVideo,liste_tags,livebroadcast,vuesVideo,likesVideo,dislikesVideo,favVideo,comzVideo,dureeVideo
3685,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,YANNICK JADOT FACE À BFM TV,-XjML7t3knA,2022-02-16 12:04:04,"['jadot 2022', 'yannick jadot']",none,13650,244,0,0,168,0 days 01:59:09
3686,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,YANNICK JADOT FACE À JORDAN BARDELLA #ELYSEE2022 #FRANCE2,_q9uSOZ3uTQ,2022-02-17 21:24:24,"['jadot 2022', 'yannick jadot']",none,11315,174,0,0,147,0 days 00:28:56
3690,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,NOTRE PROGRAMME : CHANGER LA FRANCE POUR VIVRE MIEUX,-vKSv70fj3Q,2022-02-02 14:48:48,"['jadot 2022', 'conférence de presse', 'programme', 'projet', 'écologistes', 'yannick jadot', 'programme yannick jadot']",none,3547,127,0,0,27,0 days 01:18:32
3692,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,La bataille pour le climat - rapport du GIEC,IwW20C16A94,2022-02-28 18:12:12,"['jadot 2022', 'yannick jadot']",none,3073,140,0,0,20,0 days 00:40:31
3694,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,Je condamne l'invasion russe de l'Ukraine,hWz7uA8G-VI,2022-02-24 10:22:22,"['jadot 2022', 'yannick jadot']",none,2701,169,0,0,19,0 days 00:01:44
3697,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,MON AUDITION POUR LA FONDATION ABBÉ PIERRE,IHHFFvUHejo,2022-02-03 10:39:39,"['jadot 2022', 'fondation abbé pierre jadot', 'fondation abbé pierre taubira']",none,1790,57,0,0,11,0 days 00:26:04
3698,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,#RENNES #MEETING TOURNÉE DES POSSIBLES #2,WaZ-Lb5IQCc,2022-02-08 12:48:48,"['Politique', 'écologie', 'Rennes', 'meeting', 'présidentielle']",none,1694,85,0,0,10,0 days 00:31:06
3699,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,YANNICK JADOT FACE AU MEDEF,Sf3cMS8xnwo,2022-02-21 12:43:43,"['jadot 2022', 'yannick jadot']",none,1519,98,0,0,10,0 days 00:12:48
3701,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,#MONTPELLIER #MEETING TOURNÉE DES POSSIBLES #3,LPO8yQAvaKs,2022-02-11 00:57:57,"['Politique', 'écologie', 'Rennes', 'meeting', 'présidentielle']",none,1413,76,0,0,17,0 days 00:47:56
3702,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,Vert l'infini et au delà ! #3 par Sandrine Rousseau - La condition animale,PtQhujGO-gk,2022-02-12 13:07:07,['iMovie'],none,1383,30,0,0,51,0 days 01:17:15
3705,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,#TOURS #MEETING TOURNÉE DES POSSIBLES #4,tpyOVSSOIo4,2022-02-18 21:23:23,"['jadot 2022', 'yannick jadot']",none,1195,53,0,0,6,0 days 00:27:39
3706,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,#LILLE #MEETING TOURNÉE DES POSSIBLES #1,XbuKiCxiL48,2022-02-01 20:49:49,"['Lille', 'meeting', 'jadot 2022']",none,1181,65,0,0,6,0 days 00:31:57
3707,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,L'Union européenne doit s'affirmer ! #UKRAINE,YW8MCsaaR2w,2022-02-25 13:17:17,"['jadot 2022', 'yannick jadot']",none,1033,62,0,0,12,0 days 00:03:26
3711,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,EN DIRECT DE NOTRE QG DE CAMPAGNE AVEC LCI,k3u_Mc2Ur-c,2022-02-09 10:21:21,"['jadot 2022', 'yannick jadot']",none,941,51,0,0,10,0 days 00:44:35
3712,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,Yannick Jadot échange avec vous sur Twitch !,KVt7TJfFGfk,2022-02-12 10:08:08,"['jadot 2022', 'yannick jadot']",none,900,43,0,0,6,0 days 01:11:11
3713,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,EN DIRECT : Place de la République à Paris contre V. Poutine en solidarité à l'Ukraine,oBlD0bbR1gg,2022-02-24 18:07:07,"['ukraine', 'russie', 'manifestation', 'ukrainien', 'solidarité']",none,872,27,0,0,0,0 days 00:16:15
3716,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,#AVECJADOT : L'ÉCOLOGIE N'EST PAS PUNITIVE,PpSTtUVyz4Q,2022-02-14 12:53:53,"['jadot 2022', 'yannick jadot']",none,824,40,0,0,10,0 days 00:05:52
3717,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,"Yannick Jadot dans ""Des candidats et des jeunes"" #FranceInter #Elysée2022",anJXubmKKf8,2022-02-22 18:18:18,"['jadot 2022', 'yannick jadot']",none,795,44,0,0,7,0 days 00:45:34
3720,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,#ROUEN #MEETING TOURNÉE DES POSSIBLES #5,vKWNCvzKSOc,2022-02-22 05:54:54,"['Politique', 'écologie', 'Rennes', 'meeting', 'présidentielle']",none,713,49,0,0,2,0 days 00:36:30
3723,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,"Yannick Jadot, invité du 8.30 de France Info",5EQTwDGAvfY,2022-02-28 14:16:16,"['jadot 2022', 'yannick jadot']",none,669,27,0,0,4,0 days 00:26:18
3724,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,"MON AUDITION POUR LA DÉMOCRATIE avec le Conseil Économique, Social et Environnemental (CESE)",_Uz1BuqJ2R4,2022-02-23 14:45:45,"['jadot 2022', 'yannick jadot']",none,623,50,0,0,9,0 days 00:47:01
3729,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,EN DIRECT : Rassemblement à Paris - République en solidarité avec l'Ukraine,vficEINtf10,2022-02-27 04:04:04,"['ukraine', 'russie', 'manifestation', 'ukrainien', 'solidarité']",none,523,24,0,0,0,0 days 01:30:18
3730,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,Fond Vert #4 par Cédric Villani - Fonte des pôles : peut-on encore rester de glace ?,T0ivgRfL-ZI,2022-02-19 13:05:05,['iMovie'],none,518,36,0,0,4,0 days 01:24:09
3731,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,"Fond Vert #3 par Cédric Villani - Depuis l'espace, entend-on crier la terre ?",LS9Mbjmoe6k,2022-02-13 15:50:50,['iMovie'],none,514,25,0,0,7,0 days 01:49:37
3733,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,NOUS SOMMES SUR LA PLACE PUBLIQUE #AVECJADOT,K1W758Fic1w,2022-02-17 16:00:00,"['jadot 2022', 'yannick jadot', 'JADOT RENNES', 'JADOT MONTPELLIER', 'JADOT LILLE']",none,500,42,0,0,10,0 days 00:01:57
3736,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,"Yannick Jadot, invité de Dimanche en Politique sur France 3",qyPtTcOAZ1g,2022-02-28 11:42:42,"['jadot 2022', 'yannick jadot']",none,469,30,0,0,2,0 days 00:27:11
3737,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,EN DIRECT : Place de la République à Paris contre V. Poutine en solidarité à l'Ukraine,66SU5sf7h_E,2022-02-24 17:23:23,"['ukraine', 'russie', 'manifestation', 'ukrainien', 'solidarité']",none,467,25,0,0,0,0 days 00:16:57
3739,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,#AVECJADOT : SOLIDARITÉ AU PEUPLE UKRAINIEN FACE À POUTINE,8KZj7Halro0,2022-02-23 09:54:54,"['jadot 2022', 'yannick jadot']",none,439,39,0,0,3,0 days 00:04:04
3740,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,Je condamne fermement l'agression de V. Poutine devant l'ambassade de Russie,taUME7TJMZE,2022-02-24 11:50:50,"['ukraine', 'russie', 'manifestation', 'ukrainien', 'solidarité']",none,437,29,0,0,0,0 days 00:15:40
3743,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,J.O DE PÉKIN : J'APPELLE AU BOYCOTT DIPLOMATIQUE (BFM TV),NjJmchcb1sI,2022-02-07 14:58:58,"['JADOT 2022', 'YANNICK JADOT', 'CRAVATE', 'JO DE PÉKIN', 'BOYCOTT', 'SONDAGES']",none,393,21,0,0,4,0 days 00:13:41
3744,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,Fond Vert #2 par Cédric Villani - Eau des espoirs - à la poursuite du diamant bleu !,rn_jgc80VP0,2022-02-11 11:46:46,['iMovie'],none,371,27,0,0,8,0 days 01:38:59
3749,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,#AVECJADOT : FAIRE CONFIANCE AUX CORSES,pzdZ1kuJKh0,2022-02-01 12:08:08,[],none,321,34,0,0,0,0 days 00:03:03
3753,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,Vert l'infini et au delà ! #2 par Sandrine Rousseau - Les enfants placés,Cn1rHCfajUI,2022-02-01 15:04:04,['iMovie'],none,306,18,0,0,2,0 days 01:02:41
3755,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,"Décryptage du discours de E. Macron sur le nucléaire, climat St-Valentin - Baron vert #5",LGk8LeCH6Zg,2022-02-15 07:36:36,['iMovie'],none,293,22,0,0,18,0 days 01:03:49
3756,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,Baron Vert avec Eva Joly #3,bny3_5_dmnk,2022-02-02 09:24:24,['iMovie'],none,279,19,0,0,1,0 days 01:01:29
3773,2022/03/09,Yannick Jadot,Europe Ecologie-Les Verts,vert,Yannick Jadot 2022,Baron vert avec Noel Mamère #4,0RDxcb0B8E4,2022-02-12 09:55:55,['iMovie'],none,187,18,0,0,2,0 days 01:22:15
