,dateRqt,candidat,parti,courant,chaine,titreVideo,vid_id,dateVideo,liste_tags,livebroadcast,vuesVideo,likesVideo,dislikesVideo,favVideo,comzVideo,dureeVideo
2727,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,"Valérie Pécresse, invitée de Face à BFM- 23 février 2022",LMuqTdOF3ws,2022-02-24 09:28:28,['Valérie Pécresse'],none,15698,132,0,0,0,0 days 02:25:21
2729,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,Valérie Pécresse était l'invitée de 20h22 sur France 2 - 15 février 2022,4WW3YziSJfY,2022-02-16 11:48:48,['Valérie Pécresse'],none,15142,104,0,0,0,0 days 00:22:12
2730,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,"Valérie Pécresse était l'invitée de ""C dans l'air"" - 6 février 2022",X0G98MrvbUc,2022-02-07 08:07:07,['Valérie Pécresse'],none,13036,116,0,0,0,0 days 01:01:55
2732,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,Réunion publique au Cannet - 18 février 2022,F9G1iG718Zg,2022-02-19 08:12:12,[],none,12355,123,0,0,0,0 days 01:57:45
2733,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,La France ensemble. La France encore. La France toujours !,YHTVbOzSygw,2022-02-13 09:55:55,['Valérie Pécresse'],none,12068,266,0,0,0,0 days 00:01:45
2734,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,Nouvelle France | Grand rassemblement à Paris - 13 février 2022,43lzBc8aTt4,2022-02-14 21:18:18,['Valérie Pécresse'],none,10164,70,0,0,0,0 days 01:25:42
2739,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,Nouvelle France | Grand rassemblement à Paris - 13 février 2022,dvhWw-xd2lM,2022-02-14 04:13:13,[],none,8164,93,0,0,0,0 days 01:16:17
2741,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,"Valérie Pécresse, invitée de Laurence Ferrari sur CNEWS - 2 février 2021",9np3e0t92k0,2022-02-05 20:59:59,['Valérie Pécresse'],none,7317,87,0,0,0,0 days 00:30:00
2745,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,"Valérie Pécresse en ""Mission Convaincre"" sur LCI - 31 janvier 2022  Intégrale en Replay",hRopzhNWSD0,2022-02-06 13:31:31,['Valérie Pécresse'],none,6834,68,0,0,0,0 days 02:44:51
2746,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,"""Je serai toujours aux côtés des policiers."" - Valérie Pecresse devant Alliance Police Nationale",DUU3jbpua1w,2022-02-02 14:48:48,['Valérie Pécresse'],none,6716,68,0,0,0,0 days 00:27:07
2752,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,Réunion publique à Caen – 26 février 2022,tDghjeLGX9U,2022-02-27 06:10:10,[],none,4553,82,0,0,0,0 days 01:26:23
2765,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,[Replay] Meeting zoom de Valérie Pécresse avec les Français de l'étranger,J7o5kt162HY,2022-02-17 16:44:44,['Valérie Pécresse'],none,3337,66,0,0,0,0 days 00:46:28
2767,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,"""La guerre est de retour au cœur du continent européen."" – Déclaration sur la situation en Ukraine",IkrCD3R_rZs,2022-02-24 11:43:43,['Valérie Pécresse'],none,3082,47,0,0,0,0 days 00:04:45
2768,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,Réunion publique en Vendée - 18 février 2022,BO4P9aJ5fBw,2022-02-18 14:52:52,['Valérie Pécresse'],none,2937,48,0,0,0,0 days 01:42:16
2769,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,Il est temps d'avoir une gaulliste à l'Élysée. 🇫🇷,wEcha53pId4,2022-02-16 06:45:45,['Valérie Pécresse'],none,2935,54,0,0,0,0 days 00:02:35
2770,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,Réunion publique à Charleville-Mézières - 4 février 2022,AGCfjeKX9e0,2022-02-05 06:17:17,['Valérie Pécresse'],none,2834,46,0,0,0,0 days 01:24:25
2780,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,Table ronde : « Les enjeux de l'éducation » - 5 février 2022,VjK7k_Mi4WE,2022-02-06 00:25:25,['Valérie Pécresse'],none,2173,48,0,0,0,0 days 01:55:00
2783,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,Déclaration sur l'Ukraine - 24 février 2022,vXkVcdA_VFI,2022-02-24 11:03:03,[],none,2013,34,0,0,0,0 days 00:05:04
2785,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,"""Je veux permettre aux jeunes d'oser leurs projets"" - Valérie Pécresse devant 100 jeunes",PCOCeffdSIQ,2022-02-23 09:50:50,['Valérie Pécresse'],none,1930,50,0,0,0,0 days 00:50:46
2786,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,"""Clémenceau, le Tigre ; Valérie, la Tigresse."" 💬",oZ7U67IzymY,2022-02-21 14:08:08,['Valérie Pécresse'],none,1868,47,0,0,0,0 days 00:02:38
2795,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,Dimanche en Politique avec Valérie Pécresse sur France 3 - 30 janvier 2022,ICfFy1JFYrg,2022-02-05 22:56:56,['Valérie Pécresse'],none,1527,27,0,0,0,0 days 00:27:57
2809,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,"Truffaut, Yoda et les autres : ma passion pour le 7ème art",Oe83jEBQegg,2022-02-06 13:43:43,[],none,1180,26,0,0,43,0 days 00:10:57
2814,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,Table ronde sur le sport - 19 février 2022,aEFWyyoS-qs,2022-02-20 02:48:48,[],none,1073,38,0,0,0,0 days 00:29:43
2817,2022/03/09,Valérie Pécresse,Soyons libres ,droite,Valérie Pécresse,"Drops, Ralph et les autres : les animaux et moi",er1M_tkTbMY,2022-02-12 16:49:49,[],none,1004,29,0,0,46,0 days 00:08:20
