,dateRqt,candidat,parti,courant,chaine,titreVideo,vid_id,dateVideo,liste_tags,livebroadcast,vuesVideo,likesVideo,dislikesVideo,favVideo,comzVideo,dureeVideo
4137,2022/03/08,Avec vous,LREM,centre,avec vous,"Avec Alexandra et Aymeric, dirigeants de la maison Broussaud",wSXr6cNabBY,2022-02-03 10:05:05,"['macron', 'emmanuel macron', 'modem', 'en marche', 'présidentielle', 'élection 2022', 'édouard philippe', 'françois bayrou', 'bayrou', 'territoires de progrès', 'stanislas guerini', 'Gabriel Attal', 'Gérald Darmanin', 'Castex', 'Jean Castex']",none,1830,79,0,0,5,0 days 00:02:41
4138,2022/03/08,Avec vous,LREM,centre,avec vous,"Avec Omar, directeur de cinq chantiers d’insertion sur l’île de Mayotte",VNOTOau4noQ,2022-02-17 16:31:31,"['macron', 'emmanuel macron', 'modem', 'en marche', 'présidentielle', 'élection 2022', 'édouard philippe', 'françois bayrou', 'bayrou', 'territoires de progrès', 'stanislas guerini', 'Gabriel Attal', 'Gérald Darmanin', 'Castex', 'Jean Castex']",none,1814,71,0,0,9,0 days 00:01:51
4139,2022/03/08,Avec vous,LREM,centre,avec vous,"Avec Loïck, parlons du congé paternité et de la famille",A7k9PcgtOeE,2022-02-09 14:59:59,"['macron', 'emmanuel macron', 'modem', 'en marche', 'présidentielle', 'élection 2022', 'édouard philippe', 'françois bayrou', 'bayrou', 'territoires de progrès', 'stanislas guerini', 'Gabriel Attal', 'Gérald Darmanin', 'Castex', 'Jean Castex']",none,1692,73,0,0,11,0 days 00:01:36
4140,2022/03/08,Avec vous,LREM,centre,avec vous,"Avec Laurence, dirigeante de l'entreprise Kaporal à Marseille",yl4FwlHorJw,2022-02-11 16:14:14,"['macron', 'emmanuel macron', 'modem', 'en marche', 'présidentielle', 'élection 2022', 'édouard philippe', 'françois bayrou', 'bayrou', 'territoires de progrès', 'stanislas guerini', 'Gabriel Attal', 'Gérald Darmanin', 'Castex', 'Jean Castex']",none,1643,81,0,0,2,0 days 00:01:57
4141,2022/03/08,Avec vous,LREM,centre,avec vous,"Avec Cédric Maurel, maire de Bessières",rZc1NgdZksM,2022-02-23 20:39:39,"['macron', 'emmanuel macron', 'modem', 'en marche', 'présidentielle', 'élection 2022', 'édouard philippe', 'françois bayrou', 'bayrou', 'territoires de progrès', 'stanislas guerini', 'Gabriel Attal', 'Gérald Darmanin', 'Castex', 'Jean Castex']",none,1496,74,0,0,7,0 days 00:02:31
4142,2022/03/08,Avec vous,LREM,centre,avec vous,"Avec Jean-Valère, fromager à Aurières",0iITWrJ1HwU,2022-02-28 17:59:59,"['macron', 'emmanuel macron', 'modem', 'en marche', 'présidentielle', 'élection 2022', 'édouard philippe', 'françois bayrou', 'bayrou', 'territoires de progrès', 'stanislas guerini', 'Gabriel Attal', 'Gérald Darmanin', 'Castex', 'Jean Castex']",none,1393,44,0,0,10,0 days 00:03:17
4143,2022/03/08,Avec vous,LREM,centre,avec vous,"Climat, éducation… Faites entendre votre voix sur avecvous.fr/votre-voix !",6IG3S3W-ZLQ,2022-02-09 13:42:42,[],none,1251,33,0,0,2,0 days 00:00:46
