,dateRqt,candidat,parti,courant,chaine,titreVideo,vid_id,dateVideo,liste_tags,livebroadcast,vuesVideo,likesVideo,dislikesVideo,favVideo,comzVideo,dureeVideo
1821,2022/03/09,Jean Lassalle,Résistons,divers,Jean Lassalle,QAG du 01/02/2022 Situation diplomatique au Mali,819wUX3mAAA,2022-02-01 18:29:29,[],none,16884,264,0,0,138,0 days 00:04:19
1850,2022/03/09,Jean Lassalle,Résistons,divers,Jean Lassalle,Déclaration générale sur ma proposition de loi pour la reconnaissance du vote blanc le 4/02/2022,7dZyfAd_t3s,2022-02-05 14:30:30,[],none,7915,439,0,0,73,0 days 00:08:08
1858,2022/03/09,Jean Lassalle,Résistons,divers,Jean Lassalle,🎬 JOURNAL DE CAMPAGNE : Jean Lassalle à l’Université Paris Dauphine,umgvisn3MK0,2022-02-20 21:52:52,[],none,6412,289,0,0,49,0 days 00:10:46
1876,2022/03/09,Jean Lassalle,Résistons,divers,Jean Lassalle,Question Orale Sans Débat du 22/02/2022 - situation des urgences de l’hôpital d'Oloron-Sainte-Marie,ROXT8uS3LhQ,2022-02-22 13:06:06,[],none,4630,196,0,0,38,0 days 00:05:07
1885,2022/03/09,Jean Lassalle,Résistons,divers,Jean Lassalle,🎬 JOURNAL DE CAMPAGNE séance photos affiches de campagne,9UhyPBNqOak,2022-02-13 19:49:49,[],none,4153,217,0,0,40,0 days 00:01:38
1897,2022/03/09,Jean Lassalle,Résistons,divers,Jean Lassalle,🎬 JOURNAL DE CAMPAGNE : JURA,TR-JM9gRQrI,2022-02-25 21:10:10,[],none,3623,181,0,0,32,0 days 00:10:43
1905,2022/03/09,Jean Lassalle,Résistons,divers,Jean Lassalle,🎬 JOURNAL DE CAMPAGNE : Les Landes 28 janvier 2022,hS_HRy1oZ6g,2022-02-03 16:22:22,[],none,3360,176,0,0,20,0 days 00:05:23
1934,2022/03/09,Jean Lassalle,Résistons,divers,Jean Lassalle,Déclaration générale sur la proposition de résolution pour l’asile pour Julian Assange le 4/02/2022,eG4UTCjHZ9s,2022-02-06 11:49:49,[],none,2646,204,0,0,32,0 days 00:04:49
