,dateRqt,candidat,courant,nbabo_intial,nbabo_final,nbabo_delta,nbabo_taux,nbvues_intial,nbvues_final,nbvues_delta,nbvues_taux,nbvideos_intial,nbvideos_final,nbvideos_delta,nbvideos_taux
9,2022-03-04,Avec vous,majorité,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
10,2022-03-04,Fabien Roussel,Extrême gauche,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
11,2022-03-04,Anne Hidalgo,gauche,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
0,2022-03-26,Emmanuel Macron,centre,241000,0,-241000,-1.0,17408690,0,-17408690,-1.0,345,0,-345,-1.0
1,2022-03-26,Valérie Pécresse,droite,0,0,0,0.0,479722,617680,137958,0.2875790562033845,355,380,25,0.07042253521126761
2,2022-03-26,Eric Zemmour,Extrême droite,433000,449000,16000,0.03695150115473441,50513856,52449907,1936051,0.038327127511310954,109,123,14,0.12844036697247707
3,2022-03-26,Marine Le Pen,Extrême droite,56000,57300,1300,0.023214285714285715,6070911,6186184,115273,0.0189877598271495,262,277,15,0.05725190839694656
4,2022-03-26,Nicolas Dupont-Aignan,Extrême droite,79300,82900,3600,0.04539722572509458,24165744,24794269,628525,0.02600892403726531,2634,2672,38,0.01442672741078208
5,2022-03-26,Jean Lassalle,divers,22600,26400,3800,0.168141592920354,5429178,5782203,353025,0.06502365551470222,287,296,9,0.0313588850174216
6,2022-03-26,Jean-Luc Mélenchon,Extrême gauche,697000,723000,26000,0.03730272596843615,154289060,162537202,8248142,0.053459020360873286,1257,1275,18,0.014319809069212411
7,2022-03-26,Yannick Jadot,vert,2150,3040,890,0.413953488372093,105122,393510,288388,2.74336485226689,156,213,57,0.36538461538461536
8,2022-03-26,Nathalie Arthaud,Extrême gauche,2820,3430,610,0.21631205673758866,330353,371554,41201,0.12471810457298707,429,461,32,0.07459207459207459
9,2022-03-26,Avec vous,majorité,0,27600,27600,1.0,0,856288,856288,1.0,0,33,33,1.0
10,2022-03-26,Fabien Roussel,Extrême gauche,0,498,498,1.0,0,4705,4705,1.0,0,25,25,1.0
11,2022-03-26,Anne Hidalgo,gauche,0,0,0,0.0,0,57565,57565,1.0,0,44,44,1.0
